Route Name,Route Filename
CBC Tower,routes/1.gpx
wow,routes/2.gpx
Headlands Loop ,routes/3.gpx
Highwood Pass,routes/4.gpx
2morrow,routes/5.gpx
wombocombo,routes/6.gpx
train,routes/7.gpx
2day,routes/8.gpx
First 50 boiis,routes/9.gpx
Kings + Cañada ,routes/10.gpx
Coast Loop ,routes/11.gpx
Planet of the Apes,routes/12.gpx
First Long ,routes/13.gpx
