Comment Date,Comment
"May 2, 2020, 6:49:42 PM",Nice one Thomas
"May 4, 2020, 12:08:09 AM",Thanks!
"May 7, 2020, 9:05:59 PM",Thanks Thomas 
"Mar 3, 2021, 2:20:18 AM",I think we crossed paths on your way back!
"Mar 3, 2021, 5:07:10 AM","Hah no worries, I wasn’t sure it was you til I saw this! "
"Aug 22, 2021, 2:59:19 AM",[strava://athletes/15933416/11]Tyler Brown ay thanks! was it teddy oli or marcus?
"Aug 22, 2021, 6:29:08 AM",[strava://athletes/15933416/11]Tyler Brown ah yeah they’re sick
"Sep 2, 2021, 11:01:20 PM",The best measurement of length around
